osmid,name,start_lat,start_lon,end_lat,end_lon,slope_percentage,abs_slope_percentage,length,geometry
294921171,Lorenz Avenue,40.4444651,-80.0399088,40.4442338,-80.0402564,0.550632597,0.550632597,39.074,"LINESTRING (-80.0399088 40.4444651, -80.0402564 40.4442338)"
11651757,Ainsworth Street,40.4444651,-80.0399088,40.4436411,-80.0389524,1.538175165,1.538175165,122.252,"LINESTRING (-80.0399088 40.4444651, -80.0395987 40.444201, -80.0389524 40.4436411)"
11651757,Ainsworth Street,40.4436411,-80.0389524,40.4444651,-80.0399088,-1.538175165,1.538175165,122.252,"LINESTRING (-80.0389524 40.4436411, -80.0395987 40.444201, -80.0399088 40.4444651)"
88317667,Delmont Avenue,40.4182435,-80.0039621,40.4173556,-80.0039502,-1.883272577,1.883272577,98.76,"LINESTRING (-80.0039621 40.4182435, -80.0039705 40.417977, -80.0039502 40.4173556)"
319670834,Cedar Hurst Street,40.4182435,-80.0039621,40.4182772,-80.0023585,1.733135993,1.733135993,135.807,"LINESTRING (-80.0039621 40.4182435, -80.0034931 40.4182534, -80.0023585 40.4182772)"
11692943,"['Purdue Street', 'Pemberton Street', 'Cornell Street']",40.4826482,-80.0302919,40.4840268,-80.0301939,1.409524975,1.409524975,268.576,"LINESTRING (-80.0302919 40.4826482, -80.0293461 40.4826121, -80.0292931 40.4832858, -80.0292971 40.4833282, -80.0293286 40.4833679, -80.0301939 40.4840268)"
11651799,Pemberton Street,40.4827012,-80.032767,40.4821027,-80.0346352,-1.43940221,1.43940221,175.283,"LINESTRING (-80.032767 40.4827012, -80.032896 40.4826529, -80.0340421 40.482426, -80.0342826 40.4823567, -80.0344134 40.4822821, -80.0346352 40.4821027)"
11651799,Pemberton Street,40.4821027,-80.0346352,40.4827012,-80.032767,1.43940221,1.43940221,175.283,"LINESTRING (-80.0346352 40.4821027, -80.0344134 40.4822821, -80.0342826 40.4823567, -80.0340421 40.482426, -80.032896 40.4826529, -80.032767 40.4827012)"
405681460,Brighton Road,40.4821027,-80.0346352,40.4824104,-80.035133,2.248142872,2.248142872,54.317,"LINESTRING (-80.0346352 40.4821027, -80.0348343 40.4822195, -80.0350359 40.4823378, -80.035133 40.4824104)"
405681460,Brighton Road,40.4821027,-80.0346352,40.4817084,-80.0339443,-1.864300535,1.864300535,73.054,"LINESTRING (-80.0346352 40.4821027, -80.034553 40.4820558, -80.0339443 40.4817084)"
11651864,North Negley Avenue,40.4634975,-79.9306816,40.4644891,-79.9300616,0.589905077,0.589905077,122.101,"LINESTRING (-79.9306816 40.4634975, -79.9306219 40.463593, -79.9303217 40.4640704, -79.9300616 40.4644891)"
1105258451,South Negley Avenue,40.4634975,-79.9306816,40.4623976,-79.9313532,-1.609104391,1.609104391,134.88,"LINESTRING (-79.9306816 40.4634975, -79.9307405 40.4633981, -79.9308559 40.4632031, -79.9309202 40.4630948, -79.931052 40.4628792, -79.9313096 40.4624573, -79.9313532 40.4623976)"
302198442,Penn Avenue,40.4634975,-79.9306816,40.462815,-79.9288429,-3.478658204,3.478658204,173.767,"LINESTRING (-79.9306816 40.4634975, -79.9305758 40.4634261, -79.9305327 40.463397, -79.9300075 40.4632115, -79.9298394 40.4631521, -79.9288429 40.462815)"
11651864,North Negley Avenue,40.4644891,-79.9300616,40.4634975,-79.9306816,-0.589905077,0.589905077,122.101,"LINESTRING (-79.9300616 40.4644891, -79.9303217 40.4640704, -79.9306219 40.463593, -79.9306816 40.4634975)"
11651864,North Negley Avenue,40.4644891,-79.9300616,40.4656068,-79.9293942,2.112727645,2.112727645,136.506,"LINESTRING (-79.9300616 40.4644891, -79.9295737 40.4653062, -79.9293942 40.4656068)"
1323634010,"['North Saint Clair Street', 'Broad Street']",40.4644891,-79.9300616,40.462893,-79.9287975,-2.332129068,2.332129068,290.08,"LINESTRING (-79.9300616 40.4644891, -79.9297723 40.4643888, -79.928573 40.4639731, -79.9282018 40.4638444, -79.928548 40.4632914, -79.9287975 40.462893)"
11651864,North Negley Avenue,40.4656068,-79.9293942,40.4644891,-79.9300616,-2.112727645,2.112727645,136.506,"LINESTRING (-79.9293942 40.4656068, -79.9295737 40.4653062, -79.9300616 40.4644891)"
11651864,North Negley Avenue,40.4656068,-79.9293942,40.466623,-79.9287844,-1.128172925,1.128172925,124.215,"LINESTRING (-79.9293942 40.4656068, -79.9292472 40.4658517, -79.9290691 40.4661486, -79.9287933 40.4666082, -79.9287844 40.466623)"
11651864,North Negley Avenue,40.466623,-79.9287844,40.4670213,-79.9285441,-2.029344769,2.029344769,48.731,"LINESTRING (-79.9287844 40.466623, -79.9285441 40.4670213)"
11651864,North Negley Avenue,40.466623,-79.9287844,40.4656068,-79.9293942,1.128172925,1.128172925,124.215,"LINESTRING (-79.9287844 40.466623, -79.9287933 40.4666082, -79.9290691 40.4661486, -79.9292472 40.4658517, -79.9293942 40.4656068)"
11826745,Rippey Street,40.466623,-79.9287844,40.4659096,-79.9268922,-4.951975915,4.951975915,178.702,"LINESTRING (-79.9287844 40.466623, -79.9282094 40.4664241, -79.9281946 40.4664187, -79.9279787 40.4663398, -79.9268922 40.4659096)"
11651864,North Negley Avenue,40.4670213,-79.9285441,40.466623,-79.9287844,2.029344769,2.029344769,48.731,"LINESTRING (-79.9285441 40.4670213, -79.9287844 40.466623)"
11699453,Rippey Place,40.4670213,-79.9285441,40.4675331,-79.9298834,4.907979526,4.907979526,126.787,"LINESTRING (-79.9285441 40.4670213, -79.9298834 40.4675331)"
11651864,North Negley Avenue,40.4670213,-79.9285441,40.46761,-79.9281859,-3.173981755,3.173981755,72.134,"LINESTRING (-79.9285441 40.4670213, -79.9284323 40.4672051, -79.9282384 40.4675237, -79.9281859 40.46761)"
625866849,North Negley Avenue,40.4677575,-79.9281003,40.46761,-79.9281859,3.293218588,3.293218588,17.929,"LINESTRING (-79.9281003 40.4677575, -79.9281859 40.46761)"
11811497,Margaretta Street,40.4677575,-79.9281003,40.4683036,-79.929892,4.70446794,4.70446794,163.278,"LINESTRING (-79.9281003 40.4677575, -79.9282593 40.467806, -79.929892 40.4683036)"
625866850,North Negley Avenue,40.4677575,-79.9281003,40.4681528,-79.9278713,-4.089867414,4.089867414,48.036,"LINESTRING (-79.9281003 40.4677575, -79.9280189 40.4678958, -79.9278713 40.4681528)"
625866850,North Negley Avenue,40.4681528,-79.9278713,40.4687603,-79.9274988,0.785910557,0.785910557,74.539,"LINESTRING (-79.9278713 40.4681528, -79.9274988 40.4687603)"
625866850,North Negley Avenue,40.4681528,-79.9278713,40.4677575,-79.9281003,4.089867414,4.089867414,48.036,"LINESTRING (-79.9278713 40.4681528, -79.9280189 40.4678958, -79.9281003 40.4677575)"
302198440,North Negley Avenue,40.4687603,-79.9274988,40.4697703,-79.9270334,-0.840279645,0.840279645,119.008,"LINESTRING (-79.9274988 40.4687603, -79.9270334 40.4697703)"
625866850,North Negley Avenue,40.4687603,-79.9274988,40.4681528,-79.9278713,-0.785910557,0.785910557,74.539,"LINESTRING (-79.9274988 40.4687603, -79.9278713 40.4681528)"
11820359,Black Street,40.4687603,-79.9274988,40.4696771,-79.9301005,4.555191364,4.555191364,242.547,"LINESTRING (-79.9274988 40.4687603, -79.9281048 40.4689744, -79.9301005 40.4696771)"
302198440,North Negley Avenue,40.4697703,-79.9270334,40.4706714,-79.926673,-0.457762607,0.457762607,104.733,"LINESTRING (-79.9270334 40.4697703, -79.926673 40.4706714)"
302198440,North Negley Avenue,40.4697703,-79.9270334,40.4687603,-79.9274988,0.840279645,0.840279645,119.008,"LINESTRING (-79.9270334 40.4697703, -79.9274988 40.4687603)"
11812824,Hays Street,40.4697703,-79.9270334,40.4693836,-79.9259771,0.0,0.0,99.167,"LINESTRING (-79.9270334 40.4697703, -79.9264327 40.4695453, -79.9259771 40.4693836)"
302198440,North Negley Avenue,40.4706714,-79.926673,40.4697703,-79.9270334,0.457762607,0.457762607,104.733,"LINESTRING (-79.926673 40.4706714, -79.9270334 40.4697703)"
302198440,North Negley Avenue,40.4706714,-79.926673,40.4715418,-79.9262701,-0.549406512,0.549406512,102.61,"LINESTRING (-79.926673 40.4706714, -79.9263 40.4714771, -79.9262701 40.4715418)"
800260049,Baywood Street,40.4706714,-79.926673,40.4720165,-79.9305268,1.244194549,1.244194549,358.72,"LINESTRING (-79.926673 40.4706714, -79.9272571 40.4708534, -79.9289354 40.4714518, -79.9305268 40.4720165)"
302198440,North Negley Avenue,40.4715418,-79.9262701,40.4706714,-79.926673,0.549406512,0.549406512,102.61,"LINESTRING (-79.9262701 40.4715418, -79.9263 40.4714771, -79.926673 40.4706714)"
387461872,Stanton Avenue,40.4715418,-79.9262701,40.4713942,-79.9258734,-2.067041456,2.067041456,37.355,"LINESTRING (-79.9262701 40.4715418, -79.9261884 40.4715114, -79.9258734 40.4713942)"
559359136,North Negley Avenue,40.4715418,-79.9262701,40.4724699,-79.9258523,2.472824348,2.472824348,109.084,"LINESTRING (-79.9262701 40.4715418, -79.9262451 40.4715969, -79.926007 40.4721235, -79.9258523 40.4724699)"
800260050,Stanton Avenue,40.4715418,-79.9262701,40.472342,-79.9283817,-0.783533279,0.783533279,199.576,"LINESTRING (-79.9262701 40.4715418, -79.9263452 40.4715686, -79.9268846 40.471761, -79.9283817 40.472342)"
559359136,North Negley Avenue,40.4724699,-79.9258523,40.4728268,-79.9256938,2.442047761,2.442047761,41.889,"LINESTRING (-79.9258523 40.4724699, -79.9256938 40.4728268)"
11826797,Jackson Street,40.4724699,-79.9258523,40.4733391,-79.9283204,-3.097623719,3.097623719,230.065,"LINESTRING (-79.9258523 40.4724699, -79.9259307 40.4724986, -79.9259505 40.4725058, -79.9264675 40.4726947, -79.9282162 40.4733029, -79.9282325 40.4733086, -79.9283204 40.4733391)"
559359136,North Negley Avenue,40.4724699,-79.9258523,40.4715418,-79.9262701,-2.472824348,2.472824348,109.084,"LINESTRING (-79.9258523 40.4724699, -79.926007 40.4721235, -79.9262451 40.4715969, -79.9262701 40.4715418)"
11826814,Jackson Street,40.4728268,-79.9256938,40.4726424,-79.9251285,2.614302751,2.614302751,52.028,"LINESTRING (-79.9256938 40.4728268, -79.9251285 40.4726424)"
559359136,North Negley Avenue,40.4728268,-79.9256938,40.4732589,-79.9255044,0.347880286,0.347880286,50.648,"LINESTRING (-79.9256938 40.4728268, -79.9255044 40.4732589)"
559359136,North Negley Avenue,40.4728268,-79.9256938,40.4724699,-79.9258523,-2.442047761,2.442047761,41.889,"LINESTRING (-79.9256938 40.4728268, -79.9258523 40.4724699)"
559359136,North Negley Avenue,40.4732589,-79.9255044,40.474042,-79.925158,1.176935355,1.176935355,91.874,"LINESTRING (-79.9255044 40.4732589, -79.925158 40.474042)"
559359136,North Negley Avenue,40.4732589,-79.9255044,40.4728268,-79.9256938,-0.347880286,0.347880286,50.648,"LINESTRING (-79.9255044 40.4732589, -79.9256938 40.4728268)"
11727908,Avondale Place,40.4732589,-79.9255044,40.4742061,-79.9283164,-2.972135398,2.972135398,260.133,"LINESTRING (-79.9255044 40.4732589, -79.925582 40.4732851, -79.9261304 40.4734708, -79.9282052 40.4741687, -79.9282256 40.4741756, -79.9283164 40.4742061)"
559359136,North Negley Avenue,40.474042,-79.925158,40.4742134,-79.9250806,2.406497817,2.406497817,20.152,"LINESTRING (-79.925158 40.474042, -79.9250806 40.4742134)"
559359136,North Negley Avenue,40.474042,-79.925158,40.4732589,-79.9255044,-1.176935355,1.176935355,91.874,"LINESTRING (-79.925158 40.474042, -79.9255044 40.4732589)"
11711788,Wellesley Avenue,40.474042,-79.925158,40.4749499,-79.9279111,-2.84974043,2.84974043,253.859,"LINESTRING (-79.925158 40.474042, -79.9252383 40.4740679, -79.9252562 40.4740737, -79.9257819 40.4742435, -79.9258396 40.4742622, -79.9278204 40.4749124, -79.9278424 40.4749198, -79.9279111 40.4749499)"
11711805,Wellesley Avenue,40.4742134,-79.9250806,40.4739807,-79.9243087,3.912577581,3.912577581,70.232,"LINESTRING (-79.9250806 40.4742134, -79.9243087 40.4739807)"
559359136,North Negley Avenue,40.4742134,-79.9250806,40.4754367,-79.9245416,2.643100395,2.643100395,143.462,"LINESTRING (-79.9250806 40.4742134, -79.9245416 40.4754367)"
559359136,North Negley Avenue,40.4742134,-79.9250806,40.474042,-79.925158,-2.406497817,2.406497817,20.152,"LINESTRING (-79.9250806 40.4742134, -79.925158 40.474042)"
11719997,Hampton Street,40.4754367,-79.9245416,40.4751244,-79.9236584,0.936217898,0.936217898,82.382,"LINESTRING (-79.9245416 40.4754367, -79.9236584 40.4751244)"
559359136,North Negley Avenue,40.4754367,-79.9245416,40.4763388,-79.9241238,2.922517028,2.922517028,106.352,"LINESTRING (-79.9245416 40.4754367, -79.9241238 40.4763388)"
559359136,North Negley Avenue,40.4754367,-79.9245416,40.4742134,-79.9250806,-2.643100395,2.643100395,143.462,"LINESTRING (-79.9245416 40.4754367, -79.9250806 40.4742134)"
11719997,Hampton Street,40.4754367,-79.9245416,40.4762948,-79.9271221,-3.984100235,3.984100235,238.213,"LINESTRING (-79.9245416 40.4754367, -79.925223 40.4756633, -79.9270566 40.476273, -79.9271221 40.4762948)"
11834360,Beverly Place,40.4763388,-79.9241238,40.4772624,-79.9265585,-4.812650736,4.812650736,230.121,"LINESTRING (-79.9241238 40.4763388, -79.9265585 40.4772624)"
559359136,North Negley Avenue,40.4763388,-79.9241238,40.4772422,-79.9237486,1.59776973,1.59776973,105.347,"LINESTRING (-79.9241238 40.4763388, -79.9237486 40.4772422)"
559359136,North Negley Avenue,40.4763388,-79.9241238,40.4754367,-79.9245416,-2.922517028,2.922517028,106.352,"LINESTRING (-79.9241238 40.4763388, -79.9245416 40.4754367)"
329776219,Bryant Street,40.4772422,-79.9237486,40.4768012,-79.9226116,-0.002670171,0.002670171,107.951,"LINESTRING (-79.9237486 40.4772422, -79.9226116 40.4768012)"
559359136,North Negley Avenue,40.4772422,-79.9237486,40.4763388,-79.9241238,-1.59776973,1.59776973,105.347,"LINESTRING (-79.9237486 40.4772422, -79.9241238 40.4763388)"
